,name,album,id,key,time_signature,loudness,speechiness,valence,tempo,acousticness,instrumentalness,energy,danceability,mode,duration_ms,liveness
0,Day and Night,The Book of Us : The Demon,5Ld7wZn4IYCVa4sgsAB9Ft,9,4,-3.375,0.109,0.565,101.467,0.209,0.0,0.86,0.471,1,204998,0.186
1,Zombie,The Book of Us : The Demon,4s0dJmVknlUl7V6oK3puzZ,0,4,-4.119,0.0438,0.527,121.982,0.0117,0.0,0.542,0.79,1,209259,0.0818
2,Tick Tock,The Book of Us : The Demon,4SYo5SpfduhCqibT8XUHaJ,4,4,-4.451,0.0336,0.512,144.032,0.159,0.0,0.623,0.72,1,233400,0.234
3,Love me or Leave me,The Book of Us : The Demon,7F9HWeJf4BTUzpj3B0CQKT,6,4,-3.364,0.0328,0.58,126.012,0.00085,0.0,0.899,0.618,0,222765,0.124
4,STOP,The Book of Us : The Demon,2kEXwegoUocARVri2uvgVH,9,4,-2.925,0.0484,0.666,112.051,0.00302,1.76e-06,0.94,0.665,0,228003,0.344
5,1 to 10,The Book of Us : The Demon,5rzsyz15ulv7yJykUxRJrj,11,4,-3.828,0.0406,0.38,114.05,0.000238,0.0,0.902,0.632,0,188204,0.0301
6,Afraid,The Book of Us : The Demon,4IIzisEAQJ0pDkvHChn9O4,6,4,-3.668,0.0314,0.268,159.875,0.0616,0.0,0.717,0.502,1,212879,0.13
7,Deep in love,The Book of Us : Entropy,0DzB1tFmtrW5PU8tX9XijW,7,4,-2.475,0.0348,0.397,110.032,0.0014,0.0,0.816,0.661,1,227144,0.0707
8,Sweet Chaos,The Book of Us : Entropy,499qjESUqiZjlNI7XQhyLp,11,4,-1.895,0.0737,0.529,199.692,0.00502,0.0,0.937,0.335,0,227240,0.51
9,EMERGENCY,The Book of Us : Entropy,1PgLKKfGEgqjL4DfEQArEs,9,4,-2.628,0.112,0.923,144.011,0.0352,0.0,0.957,0.774,1,197960,0.0509
10,Rescue Me,The Book of Us : Entropy,53w7MjgFXt1GvAArGseZ1x,0,4,-2.197,0.0405,0.507,99.998,0.0003,7.33e-05,0.962,0.479,1,201555,0.24
11,365247,The Book of Us : Entropy,6y722oXVv5JxS8aUuogxV5,9,4,-3.35,0.0619,0.76,110.047,0.0172,0.000143,0.894,0.734,0,173419,0.195
12,About Now,The Book of Us : Entropy,59SpSJIhUabBPX5iseriso,0,4,-8.165,0.141,0.742,127.994,0.321,0.0,0.545,0.812,1,179229,0.136
13,OUCH,The Book of Us : Entropy,3YftGIMRfazVINtT3mcM3k,1,4,-3.368,0.0481,0.581,172.042,0.143,4.42e-06,0.763,0.672,1,197442,0.0985
14,Not Fine,The Book of Us : Entropy,4r2pzvLIdg0Zgk5Bef7mIV,2,4,-2.953,0.0405,0.465,182.053,0.0327,0.0,0.692,0.498,1,215790,0.369
15,Stop Talking,The Book of Us : Entropy,2bLkmqu7U6HhLeVyQXEY1t,5,4,-3.312,0.37,0.741,170.065,0.0189,0.0,0.766,0.647,0,226818,0.0423
16,Not Mine,The Book of Us : Entropy,67C8NRYbI2XwiYilezmxZQ,1,4,-2.727,0.0349,0.645,85.01,0.0998,0.0,0.595,0.603,0,195684,0.0573
17,Like a flowing wind,The Book of Us : Entropy,6RW5fxlCyOxfBJbru1v9ol,10,4,-3.976,0.0264,0.231,159.971,0.0867,0.0,0.698,0.489,1,202750,0.323
18,아픈 길 hurt road,Remember Us : Youth Part 2,3GqdYA40CzErF1Um7ZzK5P,2,4,-4.832,0.0274,0.283,143.812,0.567,0.0,0.383,0.623,1,249819,0.0824
